Year,Name,Rank,Gender
1990,Mario,119,M
1990,Angelica,119,F
1990,Curtis,120,M
1990,Karen,120,F
1990,Ricardo,121,M
1990,Felicia,121,F
1990,Colin,122,M
1990,Jillian,122,F
1990,Julian,123,M
1990,Brenda,123,F
1990,Jonathon,124,M
1990,Ana,124,F
1990,Alan,125,M
1990,Desiree,125,F
1990,Alejandro,126,M
1990,Meagan,126,F
1990,Brent,127,M
1990,Katrina,127,F
1990,Troy,128,M
1990,Chelsey,128,F
1990,Dennis,129,M
1990,Valerie,129,F
1990,Johnny,130,M
1990,Emma,130,F
1990,Randy,131,M
1990,Nancy,131,F
1990,Isaac,132,M
1990,Monique,132,F
1990,Angel,133,M
1990,Alison,133,F
1990,Manuel,134,M
1990,Sandra,134,F
1990,Oscar,135,M
1990,Alisha,135,F
1990,Jeffery,136,M
1990,Britney,136,F
1990,Andre,137,M
1990,Brandy,137,F
1990,Henry,138,M
1990,Joanna,138,F
1990,Colton,139,M
1990,Gina,139,F
1990,Jake,140,M
1990,Grace,140,F
1990,Allen,141,M
1990,Sierra,141,F
1990,Russell,142,M
1990,Candace,142,F
1990,Edgar,143,M
1990,Jaclyn,143,F
1990,Larry,144,M
1990,Adriana,144,F
1990,Carl,145,M
1990,Krista,145,F
1990,Tony,146,M
1990,Alexa,146,F
1990,Jerry,147,M
1990,Candice,147,F
1990,Mathew,148,M
1990,Lacey,148,F
1990,Eduardo,149,M
1990,Rebekah,149,F
1990,Roberto,150,M
1990,Sydney,150,F
1990,Devon,151,M
1990,Nichole,151,F
1990,Darius,152,M
1990,Denise,152,F
1990,Clayton,153,M
1990,Dominique,153,F
1990,Jeremiah,154,M
1990,Ashlee,154,F
1990,Brendan,155,M
1990,Anne,155,F
1990,Hector,156,M
1990,Yesenia,156,F
1990,Javier,157,M
1990,Kirsten,157,F
1990,Todd,158,M
1990,Deanna,158,F
1990,Omar,159,M
1990,Claire,159,F
1990,Drew,160,M
1990,Colleen,160,F
1990,Sergio,161,M
1990,Audrey,161,F
1990,Danny,162,M
1990,Mallory,162,F
1990,Marc,163,M
1990,Carly,163,F
1990,Terry,164,M
1990,Tabitha,164,F
1990,Kristopher,165,M
1990,Cristina,165,F
1990,Jack,166,M
1990,Raven,166,F
1990,Albert,167,M
1990,Priscilla,167,F
1990,Louis,168,M
1990,Stacey,168,F
1990,Bryce,169,M
1990,Carolyn,169,F
1990,Edwin,170,M
1990,Carrie,170,F
1990,Jimmy,171,M
1990,Kiara,171,F
1990,Max,172,M
1990,Susan,172,F
1990,Calvin,173,M
1990,Stacy,173,F
1990,Lawrence,174,M
1990,Angel,174,F
1990,Micheal,175,M
1990,Linda,175,F
1990,Ricky,176,M
1990,Mercedes,176,F
1990,Ruben,177,M
1990,Autumn,177,F
1990,Ivan,178,M
1990,Ashleigh,178,F
1990,Fernando,179,M
1990,Kylie,179,F
1990,Rodney,180,M
1990,Teresa,180,F
1990,Lance,181,M
1990,Kelli,181,F
1990,Levi,182,M
1990,Gabriela,182,F
1990,Grant,183,M
1990,Caitlyn,183,F
1990,Dillon,184,M
1990,Renee,184,F
1990,Bobby,185,M
1990,Cindy,185,F
1990,Xavier,186,M
1990,Arielle,186,F
1990,Nicolas,187,M
1990,Ebony,187,F
1990,Maxwell,188,M
1990,Justine,188,F
1990,Dominic,189,M
1990,Karina,189,F
1990,Ross,190,M
1990,Meredith,190,F
1990,Walter,191,M
1990,Bridget,191,F
1990,Randall,192,M
1990,Hillary,192,F
1990,Dalton,193,M
1990,Daisy,193,F
1990,Dakota,194,M
1990,Amelia,194,F
1990,Julio,195,M
1990,Mayra,195,F
1990,Arthur,196,M
1990,Theresa,196,F
1990,Pedro,197,M
1990,Madeline,197,F
1990,Preston,198,M
1990,Sasha,198,F
1990,Cesar,199,M
1990,Claudia,199,F
1990,Darren,200,M
1990,Heidi,200,F
1990,Clinton,201,M
